# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	42107
#@/user_id	8d82608b-c9dc-447a-b88f-fa6f65555da6
a 	啊	c=198 d=1.50015 t=41900
niu wei 	牛尾	c=7 d=1 t=41103
niu yue 	纽约	c=1 d=1 t=10764
nong 	弄	c=81 d=2.29509 t=41891
nong bu 	弄不	c=0 d=0.1 t=1830
nong bu chu lai 	弄不出来	c=1 d=1 t=8069
nong bu hui qu 	弄不回去	c=1 d=1 t=1831
nong bu liao 	弄不了	c=1 d=1 t=30578
nong cheng 	弄成	c=3 d=1 t=22423
nong chu lai 	弄出来	c=1 d=1 t=22447
nong de 	弄得	c=4 d=1.40861 t=28200
nong ge 	弄个	c=19 d=1.86019 t=41187
nong hao 	弄好	c=1 d=1 t=5620
nong huai le 	弄坏了	c=1 d=1 t=10379
nong le 	弄了	c=7 d=1.00844 t=41999
nong le ge 	弄了个	c=2 d=1 t=26691
nong tao 	弄套	c=1 d=1 t=3637
nong wan 	弄完	c=2 d=1 t=41411
nong wan le 	弄完了	c=1 d=1 t=41492
nong yi ge 	弄一个	c=4 d=1.13467 t=36758
nong zhe ge 	弄这个	c=1 d=1 t=30571
nu li 	努力	c=1 d=1 t=21042
nu ma 	怒骂	c=2 d=1 t=33711
nuan huo 	暖和	c=1 d=1 t=11278
nuo 	挪	c=2 d=1.30575 t=18127
nuo ji ya 	诺基亚	c=2 d=1.84366 t=29488
nv 	女	c=4 d=1 t=34484
nv da xue sheng 	女大学生	c=1 d=1 t=14666
nv de 	女的	c=1 d=1 t=1888
nv hai 	女孩	c=4 d=2.05483 t=34601
nv quan 	女拳	c=1 d=1 t=26589
nv ren 	女人	c=1 d=1 t=2695
nv xing 	女性	c=1 d=1 t=575
nv you 	女优	c=3 d=1 t=15132
o 	哦	c=66 d=1.29562 t=42031
o o 	哦哦	c=2 d=1 t=26262
ou 	欧	c=0 d=0.1 t=25076
ou guan 	欧冠	c=8 d=0.1 t=30172
ou guan bi sai 	欧冠比赛	c=1 d=1 t=17387
ou luo si 	欧螺丝	c=1 d=1 t=25077
ou mei zhou 	欧美洲	c=1 d=1 t=25707
ou wen 	欧文	c=0 d=0.1 t=35611
ou wen kan 	欧文看	c=2 d=1.99501 t=35613
pa 	怕	c=5 d=1 t=34371
pa 	爬	c=3 d=1 t=22966
pa chong 	爬虫	c=2 d=1.97531 t=29689
pa lou ji 	爬楼机	c=1 d=1 t=6144
pai 	拍	c=8 d=1.54189 t=41592
pai 	排	c=2 d=1.97531 t=11770
pai 	派	c=2 d=1 t=37557
pai cha 	排查	c=1 d=1 t=482
pai chu qu 	排出去	c=1 d=1 t=38781
pai dui 	排队	c=2 d=1 t=29303
pai dui 	派对	c=2 d=1 t=29302
pai ge 	拍个	c=3 d=1.98511 t=34262
pai ge zhao 	拍个照	c=1 d=1 t=6179
pai le 	拍了	c=2 d=1 t=41618
pai mai 	拍卖	c=1 d=1 t=29568
pai mai hang 	拍卖行	c=1 d=1 t=39049
pai man 	排满	c=1 d=1 t=11509
pai ming 	排名	c=4 d=1.97045 t=26144
pai o 	拍哦	c=1 d=1 t=39638
pai qi 	排期	c=1 d=1 t=895
pai qi 	排气	c=1 d=1 t=894
pai xu 	排序	c=1 d=1 t=26140
pai yi zhang 	拍一张	c=1 d=1 t=4901
pai zhao 	牌照	c=1 d=1 t=8001
pai zi 	牌子	c=3 d=1 t=36776
pan 	盘	c=2 d=1 t=37878
pan duan 	判断	c=6 d=1 t=38980
pan dui an 	盘对岸	c=1 d=1 t=15674
pan jia yuan 	潘家园	c=2 d=1.86936 t=27837
pan jiang 	叛将	c=1 d=1 t=38354
pan jun 	叛军	c=2 d=1.86071 t=25437
pan wei 	盘位	c=1 d=1 t=33658
pang 	胖	c=2 d=1 t=41471
pang bian 	旁边	c=5 d=1.70469 t=23622
pang le 	胖了	c=1 d=1 t=10830
pao 	跑	c=57 d=1.71963 t=41201
pao bu chu lai 	跑不出来	c=2 d=1.00102 t=12285
pao chu 	跑出	c=1 d=1 t=40377
pao chu lai 	跑出来	c=3 d=1 t=35984
pao de 	跑的	c=2 d=1 t=34711
pao hao 	跑好	c=1 d=1 t=10909
pao le 	跑了	c=1 d=1 t=9579
pao lu 	跑路	c=2 d=1.85642 t=33328
pao man 	跑满	c=3 d=2.6529 t=22245
pao mo 	泡沫	c=2 d=1.97531 t=38306
pao qu 	抛去	c=1 d=1 t=34043
pao shang 	跑上	c=1 d=1 t=38568
pao wan 	跑完	c=1 d=1 t=39681
pao wan le 	跑完了	c=3 d=1.00759 t=40651
pao yi xia 	跑一下	c=3 d=1 t=31376
pao zai 	跑在	c=1 d=1 t=13590
pei 	配	c=10 d=1 t=36748
pei chang 	赔偿	c=1 d=1 t=40688
pei e 	配额	c=1 d=1 t=20561
pei ge 	配个	c=2 d=1 t=24373
pei he 	配合	c=1 d=1 t=24862
pei jian 	配件	c=2 d=1.00543 t=10989
pei song 	配送	c=7 d=1 t=42063
pei xian jia 	配线架	c=8 d=1.94649 t=34467
pei xun 	培训	c=2 d=1 t=37624
pei zhi 	配置	c=39 d=1.92774 t=38048
pei zhi li 	配置里	c=1 d=1 t=4206
pei zhi wen jian 	配置文件	c=1 d=1 t=15916
pen 	盆	c=1 d=1 t=17922
pen yi pen 	喷一喷	c=1 d=1 t=17885
pen zui 	喷嘴	c=1 d=1 t=37190
peng 	碰	c=4 d=1 t=36238
peng le 	碰了	c=1 d=1 t=1072
peng shang 	碰上	c=1 d=1 t=20321
peng yi xia 	碰一下	c=0 d=0.1 t=5993
peng yi xia ba 	碰一下吧	c=1 d=1 t=5994
peng you 	朋友	c=7 d=1 t=40484
pi 	屁	c=2 d=1.00127 t=18445
pi 	皮	c=1 d=1 t=35657
pi bao 	皮包	c=1 d=1 t=21114
pi fu 	皮肤	c=1 d=1 t=11948
pi gu 	屁股	c=1 d=1 t=10971
pi jiu 	啤酒	c=2 d=1 t=33961
pi li pa la 	噼里啪啦	c=1 d=1 t=14327
pi liang 	批量	c=3 d=1 t=32744
pi pa 	琵琶	c=2 d=1.99501 t=25973
pi pei 	匹配	c=8 d=1.0071 t=36329
pi tou 	披头	c=1 d=1 t=25619
pi zhun 	批准	c=1 d=1 t=41839
pian 	片	c=4 d=1 t=27868
pian duan 	片段	c=1 d=1 t=13389
pian yi 	便宜	c=15 d=1 t=35688
pian zhi 	偏置	c=3 d=2.19174 t=18989
pian zi 	片子	c=1 d=1 t=22273
pian zi 	骗子	c=3 d=1.956 t=19080
piao 	票	c=3 d=1.89583 t=40967
piao liang 	漂亮	c=2 d=1 t=14211
pie song 	撇送	c=1 d=1 t=29174
pin duo duo 	拼多多	c=2 d=1 t=35683
pin pai 	品牌	c=4 d=1 t=34155
pin tu 	拼图	c=2 d=1.95123 t=27839
pin yin 	拼音	c=2 d=1 t=30448
pin zhi 	品质	c=3 d=1.8979 t=13111
pin zhuang 	拼装	c=1 d=1 t=14803
ping 	屏	c=1 d=1 t=1009
ping 	平	c=1 d=1 t=8820
ping 	瓶	c=2 d=1.02887 t=3483
ping ban 	平板	c=1 d=1 t=31643
ping bi 	屏蔽	c=1 d=0.1 t=25232
ping ce 	评测	c=1 d=1 t=36612
ping chang 	平常	c=5 d=1.99005 t=35481
ping fen 	评分	c=1 d=1 t=4013
ping gu 	评估	c=1 d=1 t=11682
ping guo 	苹果	c=11 d=2.23289 t=38802
ping jia 	评价	c=1 d=1 t=36777
ping kong 	凭空	c=1 d=1 t=18640
ping lun qu 	评论区	c=1 d=1 t=40595
ping mi 	平米	c=1 d=1 t=24234
ping mu 	屏幕	c=1 d=1 t=38721
ping tai 	平台	c=13 d=1 t=32007
ping ti 	平替	c=1 d=0.1 t=24574
ping ti a 	平替啊	c=1 d=1 t=24575
po fang 	破防	c=3 d=1 t=33709
po jie 	破解	c=1 d=1 t=8836
pu 	普	c=0 d=0.1 t=27616
pu bian 	普遍	c=1 d=1 t=3297
pu fa 	浦发	c=1 d=1 t=2148
pu tong 	普通	c=8 d=1.00019 t=30984
qi 	器	c=2 d=1.38868 t=31860
qi 	气	c=1 d=1 t=6120
qi 	琪	c=1 d=1 t=13901
qi 	起	c=5 d=1 t=39412
qi 	骑	c=4 d=1.00005 t=32625
qi ba shi jin 	七八十斤	c=1 d=1 t=14199
qi ba wan 	七八万	c=1 d=1 t=25329
qi bu 	起步	c=1 d=1 t=3623
qi bu liao 	起不了	c=1 d=1 t=34604
qi che 	骑车	c=6 d=1 t=37666
qi chuang 	起床	c=1 d=1 t=34503
qi ci 	其次	c=1 d=1 t=13144
qi dong 	启动	c=3 d=1.00137 t=31233
qi fa xing 	启发性	c=1 d=1 t=5461
qi fu 	欺负	c=1 d=1 t=2135
qi ge 	七个	c=1 d=1 t=17887
qi guai le 	奇怪了	c=1 d=1 t=9056
qi jian 	旗舰	c=1 d=1 t=29490
qi jian 	期间	c=2 d=1 t=29489
qi lai 	起来	c=1 d=1 t=29039
qi le 	骑了	c=1 d=1 t=32613
qi ming 	起名	c=2 d=1.98511 t=34609
qi ming zi 	起名字	c=1 d=1 t=34450
qi mo tuo che 	骑摩托车	c=1 d=1 t=32521
qi niu 	七牛	c=2 d=1.99005 t=14787
qi pao 	气泡	c=1 d=1 t=38308
qi shi 	其实	c=10 d=1.00058 t=41992
qi shou 	骑手	c=62 d=2.63112 t=41053
qi sou 	七艘	c=1 d=1 t=23063
qi su 	起诉	c=2 d=1 t=38876
qi ta 	其他	c=32 d=1.00674 t=41080
qi tian 	七天	c=1 d=1 t=33322
qi tian wu li you 	七天无理由	c=1 d=1 t=34319
qi xia 	旗下	c=1 d=1 t=31095
qi yan er 	起眼儿	c=1 d=1 t=40133
qi ye 	企业	c=11 d=1.965 t=24154
qi ye ban 	企业版	c=2 d=1.00007 t=14548
qi ye ji 	企业级	c=2 d=1 t=24139
qi ye song 	企业送	c=1 d=1 t=37079
qi ye wei xin 	企业微信	c=1 d=1 t=12695
qi yi 	歧义	c=1 d=1 t=867
qi yin 	起因	c=1 d=1 t=31023
qi zhong 	其中	c=14 d=1.00014 t=37203
qi zong 	气总	c=1 d=1 t=29897
qia 	掐	c=2 d=1.99005 t=34394
qia hao 	恰好	c=1 d=1 t=29766
qian 	前	c=15 d=1.00005 t=35663
qian 	千	c=1 d=1 t=21623
qian 	签	c=2 d=1 t=41955
qian 	钱	c=15 d=1.00126 t=37000
qian duan 	前端	c=5 d=2.08787 t=32343
qian duan quan 	前端圈	c=1 d=1 t=32180
qian duo shao 	欠多少	c=1 d=1 t=41460
qian fei 	欠费	c=1 d=1 t=41449
qian fu 	潜伏	c=1 d=1 t=29622
qian hou 	前后	c=3 d=1 t=23733
qian ji 	前几	c=1 d=1 t=3175
qian ji tian 	前几天	c=2 d=1 t=27423
qian liang tian 	前两天	c=3 d=1 t=37626
qian mian 	前面	c=6 d=1 t=34785
qian ming 	签名	c=6 d=1 t=30132
qian que 	欠缺	c=1 d=1 t=2737
qian ru 	迁入	c=1 d=1 t=16116
qian san 	前三	c=1 d=1 t=5281
qian tai 	前台	c=3 d=1 t=39456
qian ti 	前提	c=3 d=1 t=26052
qian ti a 	前提啊	c=1 d=1 t=18238
qian tian 	前天	c=1 d=1 t=36931
qian xi 	前戏	c=2 d=1.95123 t=9628
qian xie nian 	前些年	c=1 d=1 t=12584
qian xu 	谦虚	c=1 d=1 t=24
qian zhao 	千兆	c=1 d=1 t=22049
qian zheng 	签证	c=2 d=1.51171 t=41962
qian zi 	签字	c=1 d=1 t=11733
qiang 	强	c=3 d=1 t=36597
qiang 	抢	c=1 d=1 t=39053
qiang 	枪	c=1 d=1 t=39052
qiang dan 	抢单	c=1 d=1 t=32662
qiang du 	强度	c=1 d=1 t=21750
qiang ge 	强哥	c=1 d=1 t=35
qiang gou 	抢购	c=1 d=1 t=7757
qiang hua xue xi 	强化学习	c=1 d=1 t=12462
qiang po zheng 	强迫症	c=1 d=1 t=19177
qiao bang zhu 	乔帮主	c=1 d=1 t=9563
qiao bu si 	乔布斯	c=2 d=1.06204 t=9557
qiao he 	巧合	c=2 d=1.50916 t=29891
qiao jie 	桥接	c=4 d=2.11657 t=22458
qiao miao 	巧妙	c=1 d=1 t=2736
qie 	切	c=4 d=1 t=24998
qie er xi 	切尔西	c=2 d=1.97531 t=26815
qie huan 	切换	c=1 d=1 t=25222
qie zi 	茄子	c=1 d=1 t=15305
qin 	亲	c=1 d=1 t=34323
qin qi 	亲戚	c=1 d=1 t=16981
qin quan 	侵权	c=1 d=1 t=13055
qin zi 	亲子	c=1 d=1 t=13407
qin zi 	亲自	c=1 d=1 t=13409
qing 	请	c=23 d=1.00004 t=41838
qing 	轻	c=1 d=1 t=25796
qing 	青	c=1 d=1 t=13454
qing bang mang 	请帮忙	c=2 d=1 t=16929
qing bei 	清北	c=1 d=1 t=3296
qing cha 	清查	c=0 d=0.1 t=35986
qing cha shou 	请查收	c=4 d=1.00009 t=37841
qing cha sou 	清查搜	c=1 d=1 t=35987
qing chu 	清楚	c=6 d=1 t=30884
qing chu 	清除	c=1 d=1 t=39954
qing dan 	清单	c=1 d=1 t=34105
qing dan li 	清单里	c=1 d=1 t=19903
qing fei 	清肺	c=1 d=1 t=4841
qing fen xi 	请分析	c=1 d=1 t=25563
qing gei 	请给	c=1 d=1 t=31430
qing gen ju 	请根据	c=1 d=1 t=27048
qing guo 	请过	c=1 d=1 t=27852
qing hu lve 	请忽略	c=2 d=1 t=37723
qing jia 	请假	c=5 d=1 t=41750
qing jian 	请见	c=2 d=1.02282 t=37713
qing jiao 	请教	c=1 d=1 t=3119
qing jiu 	清酒	c=3 d=2.78674 t=20369
qing kuang 	情况	c=15 d=1 t=40281
qing kuang xia 	情况下	c=1 d=1 t=9867
qing le 	晴了	c=1 d=1 t=19585
qing le 	清了	c=3 d=1 t=39672
qing li 	清理	c=2 d=1 t=17169
qing ni 	请你	c=2 d=1 t=34529
qing qiu 	请求	c=54 d=3.25824 t=39763
qing qiu tou 	请求头	c=9 d=4.04333 t=15830
qing qu nei yi 	情趣内衣	c=1 d=1 t=7877
qing sheng 	轻生	c=1 d=1 t=24985
qing song 	轻松	c=1 d=1 t=9586
qing ta 	请他	c=1 d=1 t=40780
qing wen 	请问	c=11 d=1.96079 t=39965
qing wo chi fan 	请我吃饭	c=1 d=1 t=27644
qing xi 	清晰	c=1 d=1 t=20169
qing xian 	清闲	c=1 d=1 t=8531
qing yi xia 	清一下	c=2 d=1.00014 t=11169
qing zai 	请在	c=1 d=1 t=25797
qing zan men 	请咱们	c=1 d=1 t=5632
qiong you 	穷游	c=2 d=1 t=40126
qiu dui 	球队	c=1 d=1 t=41443
qiu ni le 	求你了	c=1 d=1 t=29882
qiu ta 	求他	c=1 d=1 t=2290
qiu xing 	球星	c=1 d=1 t=41381
qiu yuan 	球员	c=1 d=1 t=41388
qu 	区	c=6 d=1 t=36284
qu 	去	c=156 d=2.99999 t=41491
qu 	取	c=7 d=1 t=39999
qu bie 	区别	c=8 d=1.00861 t=38462
qu bu liao 	去不了	c=1 d=1 t=33694
qu chong 	去重	c=4 d=1.68386 t=37305
qu chu 	去除	c=3 d=1 t=37247
qu dao 	渠道	c=1 d=1 t=11839
qu diao 	去掉	c=5 d=1 t=40301
qu fen 	区分	c=2 d=1.47473 t=12573
qu guo 	去过	c=2 d=1.45384 t=15237
qu jue yu 	取决于	c=1 d=1 t=23820
qu kan 	去看	c=1 d=1 t=28124
qu kuai lian 	区块链	c=1 d=1 t=19073
qu le 	去了	c=6 d=1 t=18174
qu le ba 	去了吧	c=1 d=1 t=34801
qu le ma 	去了吗	c=2 d=1.99501 t=14290
qu le tang 	去了趟	c=1 d=1 t=13240
qu ma 	去吗	c=2 d=1 t=19584
qu na 	去哪	c=0 d=0.1 t=32809
qu nian 	去年	c=17 d=1.00113 t=28308
qu tang 	去趟	c=1 d=1 t=13502
qu wan 	去玩	c=1 d=1 t=11876
qu xi 	去洗	c=1 d=1 t=14835
qu xiao 	取消	c=5 d=1 t=34897
qu zuo 	去做	c=1 d=1 t=37362
quan 	全	c=16 d=1 t=39555
quan 	券	c=1 d=1 t=19578
quan 	劝	c=2 d=1.99005 t=25304
quan 	圈	c=1 d=0.1 t=32179
quan bu 	全部	c=20 d=2.55818 t=37262
quan bu de 	全部的	c=1 d=1 t=4557
quan cheng 	全称	c=1 d=1 t=21123
quan cheng 	全程	c=1 d=1 t=6024
quan cong 	全琮	c=1 d=1 t=8233
quan gao ding 	全搞定	c=1 d=1 t=5060
quan gui 	权贵	c=1 d=1 t=3392
quan huan 	全换	c=1 d=1 t=33511
quan ji 	拳击	c=1 d=1 t=31192
quan jia tong 	全家桶	c=1 d=1 t=13021
quan ming 	全名	c=1 d=1 t=19220
quan nong 	全弄	c=1 d=1 t=24171
quan qian zhao 	全千兆	c=1 d=1 t=22003
quan qiu 	全球	c=1 d=1 t=28214
quan shan le 	全删了	c=1 d=1 t=33756
quan shang 	券商	c=3 d=2.67731 t=40215
quan shi 	全是	c=17 d=1.00647 t=41604
quan ti 	全体	c=1 d=1 t=3460
quan tian 	全天	c=1 d=1 t=4764
quan wang 	全网	c=1 d=1 t=20616
quan wu 	全屋	c=3 d=1.54692 t=22444
quan xian 	权限	c=49 d=1 t=39716
quan xian hou 	权限后	c=1 d=1 t=15518
quan xian zu 	权限组	c=3 d=1.96612 t=869
quan xin 	全新	c=0 d=0.1 t=17219
quan xin a 	全新啊	c=1 d=1 t=17220
quan yong 	全用	c=1 d=1 t=2805
quan zai 	全在	c=0 d=0.1 t=2882
quan zai gao 	全在搞	c=1 d=1 t=2883
quan ze 	全责	c=2 d=1.91851 t=5016
quan zhong 	权重	c=4 d=1 t=39578
quan zi dong 	全自动	c=1 d=1 t=32673
que 	缺	c=1 d=1 t=21952
que bao 	确保	c=2 d=1 t=38584
que li 	确立	c=1 d=1 t=40908
que ren 	确认	c=17 d=2.47403 t=40039
que ren yi xia 	确认一下	c=1 d=1 t=5711
que shao 	缺少	c=3 d=1.04729 t=831
que shi 	确实	c=6 d=1 t=38848
que xian 	缺陷	c=1 d=1 t=18680
qun 	群	c=3 d=1 t=14812
qun hui 	群回	c=2 d=1 t=33528
qun hui 	群晖	c=1 d=1 t=33529
qun li 	群里	c=6 d=1 t=32893
ran hou 	然后	c=117 d=3.95653 t=41803
ran qi 	燃气	c=2 d=1.00005 t=41407
ran shi 	然是	c=1 d=1 t=5379
rang 	让	c=65 d=1.00968 t=41952
rang kai fa 	让开发	c=1 d=1 t=31355
rang ni 	让你	c=9 d=1.24414 t=36374
rang ni men 	让你们	c=2 d=1 t=33722
rang rang 	嚷嚷	c=1 d=1 t=11111
rang ren 	让人	c=1 d=1 t=30510
rang ta 	让他	c=12 d=1 t=37809
rang ta 	让她	c=1 d=1 t=42052
rang ta 	让它	c=2 d=1.91393 t=39239
rang ta men 	让他们	c=4 d=1 t=36227
rang wo 	让我	c=6 d=2.54226 t=36355
rang wo ba 	让我爸	c=3 d=1.11025 t=14440
rang wo men 	让我们	c=1 d=1 t=8148
rang ya 	让丫	c=1 d=1 t=33672
re 	热	c=5 d=1 t=37743
re chuang 	热床	c=7 d=6.84731 t=37199
re du 	热度	c=5 d=1 t=26929
re le 	热了	c=0 d=0.1 t=11303
re men 	热门	c=2 d=1 t=24564
re si 	热死	c=1 d=1 t=1816
re sou 	热搜	c=1 d=1 t=40863
ren 	人	c=84 d=1.05477 t=41670
ren bu ren shi 	认不认识	c=1 d=1 t=30459
ren cheng 	人称	c=1 d=1 t=2029
ren duo 	人多	c=1 d=1 t=10545
ren gong 	人工	c=2 d=1.99501 t=13640
ren he 	任何	c=1 d=1 t=22195
ren jia 	人家	c=26 d=3.27933 t=41904
ren lei 	人类	c=1 d=1 t=12459
ren min bi 	人民币	c=3 d=1.50916 t=38793
ren ming 	人名	c=1 d=1 t=23180
ren ming 	任命	c=1 d=1 t=23179
ren qi 	人气	c=0 d=0.1 t=1968
ren ran 	荏苒	c=1 d=1 t=22306
ren ren 	人人	c=2 d=1.97531 t=40142
ren rou 	人肉	c=1 d=1 t=29410
ren she 	人设	c=1 d=1 t=32496
ren shi 	认识	c=6 d=1 t=40956
ren shou 	人手	c=1 d=1 t=3700
ren shou yi ge 	人手一个	c=1 d=1 t=37896
ren ti 	人体	c=1 d=1 t=2156
ren tong 	忍痛	c=1 d=1 t=3476
ren wei 	认为	c=1 d=1 t=25459
ren wu 	人物	c=15 d=1 t=29732
ren wu 	任务	c=18 d=1.86071 t=39227
ren wu zhong 	任务中	c=1 d=1 t=12579
ren xing heng dao 	人行横道	c=1 d=1 t=29160
ren yi 	任意	c=1 d=1 t=6581
ren yong 	人用	c=1 d=1 t=12036
ren yuan 	人员	c=2 d=1.97531 t=16134
ren zheng 	认证	c=4 d=1 t=31972
ren zhi 	认知	c=1 d=1 t=2543
reng 	仍	c=1 d=1 t=21673
reng 	扔	c=1 d=1 t=38397
reng gei 	扔给	c=1 d=1 t=25334
reng le 	扔了	c=7 d=1.07465 t=30672
reng le ba 	扔了吧	c=1 d=1 t=16538
reng ran 	仍然	c=1 d=1 t=22307
ri 	日	c=13 d=4.18361 t=37967
ri bao 	日报	c=5 d=1 t=35626
ri bao biao 	日报表	c=1 d=1 t=23710
ri ben 	日本	c=6 d=1.19917 t=41991
ri chang 	日常	c=2 d=1.00088 t=26006
ri hou 	日后	c=1 d=1 t=16138
ri ji 	日记	c=9 d=1 t=14933
ri liao 	日料	c=1 d=1 t=15319
ri qi 	日期	c=13 d=2.81877 t=37953
ri shi 	日式	c=2 d=0.1 t=15411
ri zhi 	日志	c=27 d=2.34445 t=40067
ri zi 	日子	c=2 d=1 t=24307
rong 	荣	c=1 d=1 t=14546
rong yi 	容易	c=4 d=1 t=25523
rou 	肉	c=1 d=1 t=26391
rou yan ke jian 	肉眼可见	c=1 d=1 t=1523
ru guo 	如果	c=72 d=2.43293 t=39773
ru guo ni 	如果你	c=1 d=1 t=16414
ru he 	如何	c=50 d=1.00018 t=42091
ru he zuo 	如何做	c=1 d=1 t=25792
ru men 	入门	c=3 d=1.08092 t=18974
ru shou 	入手	c=1 d=1 t=37890
ru xia 	如下	c=28 d=1.00045 t=36978
ru xian ai 	乳腺癌	c=1 d=1 t=34723
ru you 	如有	c=1 d=1 t=16938
ru zhai 	入宅	c=3 d=2.71138 t=5655
ruan jian 	软件	c=9 d=1 t=41225
ruan le 	软了	c=1 d=1 t=22955
ruan lu you 	软路由	c=20 d=1.99781 t=40110
rui xing 	瑞幸	c=1 d=1 t=13579
run se 	润色	c=2 d=1 t=41840
ruo dian 	弱点	c=1 d=0.100029 t=24047
ruo dian gui 	弱点贵	c=1 d=1 t=24048
ruo dian xiang 	弱电箱	c=5 d=1.00001 t=24384
ruo gan 	若干	c=1 d=1 t=12566
ruo shi qun ti 	弱势群体	c=2 d=1.54881 t=2118
ruo zhi 	弱智	c=2 d=1.64082 t=2084
ruo zhi ba 	弱智吧	c=7 d=6.26579 t=28148
sa 	撒	c=1 d=1 t=14680
sa shang 	撒上	c=1 d=1 t=17882
sai 	赛	c=3 d=1.002 t=25099
sai er da 	塞尔达	c=6 d=1 t=30423
sai ji 	赛季	c=1 d=1 t=39035
san 	三	c=3 d=1 t=29661
san 	散	c=1 d=1 t=20372
san ci 	三次	c=2 d=1 t=32427
san dai 	三代	c=1 d=1 t=41084
san dian 	三点	c=1 d=1 t=22312
san ge 	三个	c=13 d=1.00001 t=35429
san ge gu shi 	三个故事	c=1 d=1 t=25547
san ge zi mu 	三个字母	c=1 d=1 t=8254
san guan wang 	三冠王	c=1 d=1 t=26834
san guo 	三国	c=1 d=1 t=1585
san guo yan yi 	三国演义	c=1 d=1 t=25345
san he 	三和	c=1 d=1 t=2000
san jia 	三家	c=3 d=1.01384 t=35648
san ju shi 	三居室	c=1 d=1 t=27801
san le 	散了	c=1 d=1 t=17970
san nian 	三年	c=1 d=1 t=14985
san re 	散热	c=2 d=1 t=24412
san shang 	三上	c=1 d=1 t=5196
san shi 	三十	c=1 d=1 t=6092
san shi 	三是	c=0 d=0.1 t=6090
san shi duo nian 	三十多年	c=1 d=1 t=17004
san shi wu shi 	三是五十	c=1 d=1 t=6091
san ti 	三体	c=5 d=2.09862 t=25589
san tian 	三天	c=2 d=0.1 t=38517
san tian yao 	三天药	c=1 d=1 t=38518
san wu 	三五	c=1 d=1 t=36625
san wu 	三无	c=1 d=1 t=36624
san wu bai 	三五百	c=1 d=1 t=3385
san xing 	三星	c=1 d=1 t=22630
san ya 	三亚	c=1 d=1 t=8515
san yang 	三样	c=1 d=1 t=30687
san yuan qiao 	三元桥	c=1 d=1 t=13748
san yue 	三月	c=2 d=1.55156 t=12294
san zhang biao 	三张表	c=1 d=1 t=1914
sang 	丧	c=1 d=1 t=21270
sao 	扫	c=1 d=1 t=27731
sao sao 	扫扫	c=1 d=1 t=27747
sao yi xia 	扫一下	c=1 d=1 t=9825
se qing 	色情	c=2 d=1 t=40597
sha 	傻	c=2 d=1 t=24961
sha 	啥	c=23 d=1.01464 t=39659
sha 	杀	c=3 d=1 t=15211
sha bi 	傻逼	c=15 d=1.00009 t=35893
sha de 	傻的	c=1 d=1 t=13063
sha dou 	啥都	c=1 d=1 t=13134
sha fa 	沙发	c=7 d=1.07859 t=30645
sha fa chuang 	沙发床	c=1 d=1 t=30728
sha gua 	傻瓜	c=1 d=1 t=21996
sha qing kuang 	啥情况	c=1 d=1 t=33192
sha ren 	杀人	c=1 d=1 t=34829
sha shang li 	杀伤力	c=1 d=1 t=27976
sha shi 	啥事	c=1 d=1 t=22782
sha si 	杀死	c=1 d=1 t=19333
sha tan 	沙滩	c=1 d=1 t=8447
sha te 	沙特	c=4 d=3.39442 t=41378
sha xian 	沙县	c=2 d=1 t=26797
sha ye bu shi 	啥也不是	c=1 d=1 t=38165
sha yi si 	啥意思	c=1 d=1 t=18080
shai 	晒	c=0 d=0.1 t=11303
shai de 	晒得	c=1 d=1 t=21883
shai re le 	晒热了	c=1 d=1 t=11304
shai shai tai yang 	晒晒太阳	c=1 d=1 t=17294
shan 	删	c=1 d=1 t=22685
shan 	山	c=6 d=1 t=35334
shan chu 	删除	c=10 d=1.01285 t=40421
shan chu hu 	删除虎	c=1 d=1 t=33820
shan di che 	山地车	c=1 d=1 t=30409
shan dong 	山东	c=2 d=1.00009 t=36005
shan hai 	山海	c=2 d=1.67368 t=28141
shan le 	删了	c=5 d=1 t=39594
shan le ba 	删了吧	c=1 d=1 t=20714
shan zhai 	山寨	c=1 d=1 t=20174
shang 	上	c=175 d=1.18678 t=42094
shang bai wan 	上百万	c=2 d=1 t=40975
shang ban 	上班	c=9 d=1 t=40600
shang biao 	商标	c=1 d=1 t=21243
shang biao ju 	商标局	c=1 d=1 t=21250
shang bu liao wang 	上不了网	c=1 d=1 t=40693
shang bu qu 	上不去	c=1 d=1 t=26331
shang chang 	商场	c=1 d=1 t=34283
shang cheng 	商城	c=2 d=1.77492 t=13080
shang chuan 	上传	c=7 d=1 t=30555
shang ci 	上次	c=12 d=1 t=40786
shang de 	上的	c=1 d=1 t=2086
shang fei 	伤肺	c=1 d=1 t=1707
shang ge yue 	上个月	c=6 d=2.4367 t=39625
shang hai 	上海	c=8 d=1 t=41806
shang hu 	商户	c=1 d=1 t=26923
shang hui 	上会	c=1 d=1 t=22705
shang huo 	上火	c=1 d=1 t=22545
shang jia 	上架	c=1 d=1 t=18099
shang jia 	商家	c=5 d=2.59993 t=5951
shang ke 	上课	c=1 d=1 t=9699
shang lai 	上来	c=3 d=1.04706 t=20836
shang le 	上了	c=10 d=1.64404 t=36163
shang le 	赏了	c=1 d=1 t=11936
shang men 	上门	c=9 d=1 t=30597
shang mian 	上面	c=26 d=1.00006 t=41653
